Place,Athlete,Class,Team,Time,Points,Year
44,Isaac Akers,SR,Tulsa,29:40.4,41,2022
45,Rowen Ellenberg,SO,Wisconsin,29:40.9,42,2022
46,Nathan Lawler,JR,Syracuse,29:41.4,43,2022
47,Christian Allen,SR,BYU,29:42.0,44,2022
48,Aidan Troutner,SO,BYU,29:43.1,45,2022
49,Ethan Marshall,SR,Air Force,29:45.4,46,2022
50,Acer Iverson,JR,Harvard,29:46.1,47,2022
51,Devin Hart,SO,Stanford,29:47.0,48,2022
52,Joey Nokes,SO,BYU,29:48.2,49,2022
53,Ryan Schoppe,SO,Oklahoma State,29:48.7,50,2022
54,Charlie Wheeler,SR,Wisconsin,29:49.1,51,2022
55,Anthony Camerieri,SR,Ole Miss,29:49.3,52,2022
56,Thomas Vanoppen,SR,Wake Forest,29:49.4,53,2022
57,Sam Gilman,SR,Air Force,29:49.4,54,2022
58,Paul O’Donnell,SR,Syracuse,29:50.3,55,2022
59,Wil Smith,SO,Gonzaga,29:50.4,56,2022
60,Tom Brady,SR,Michigan,29:51.1,57,2022
61,Michael Power,SR,Tulsa,29:51.3,58,2022
62,Ethan Strand,SO,North Carolina,29:51.8,59,2022
63,Izaiah Steury,FR,Notre Dame,29:52.3,60,2022
64,Brett Gardner,SO,NC State,29:52.3,61,2022
65,Nickolas Scudder,JR,Charlotte,29:52.3,—,2022
66,Victor Kiprop,SO,Alabama,29:52.5,62,2022
67,Duncan Hamilton,SR,Montana State,29:52.6,63,2022
68,Seth Hirsch,SR,Colorado,29:53.4,64,2022
69,Charlie Sweeney,SR,Colorado,29:53.8,65,2022
70,Luke Combs,JR,Air Force,29:55.4,66,2022
71,Meika Beaudoin-Rousseau,SR,Stanford,29:57.2,67,2022
72,John Tatter,SR,North Carolina,29:58.2,68,2022
73,Marcelo Rocha,SR,Providence,29:58.2,—,2022
74,Gable Sieperda,SO,Iowa State,29:59.0,—,2022
75,Thomas Boyden,SO,Stanford,29:59.7,69,2022
76,Hannes Burger,JR,NC State,30:00.1,70,2022
77,Bryce Lentz,SO,Air Force,30:01.7,71,2022
78,Tyler Berg,SR,Columbia,30:02.2,—,2022
79,Jack Meijer,SO,Wisconsin,30:02.3,72,2022
80,Ian Harrison,SO,NC State,30:02.9,73,2022
81,Nathan Henderson,SR,Syracuse,30:04.6,74,2022
82,Noah Carey,SR,Syracuse,30:04.9,75,2022
83,Evan Bishop,SO,Wisconsin,30:05.6,76,2022
84,Abdirizak Ibrahim,JR,New Mexico,30:05.8,—,2022
85,Yonas Mogos,JR,Utah State,30:06.3,77,2022
86,Brendan Fraser,SR,Colorado,30:06.9,78,2022
87,Vincent Mauri,JR,Arizona State,30:08.3,—,2022
88,Ryan Raff,SR,Northern Arizona,30:08.6,79,2022
89,Ryan Kinnane,SO,Auburn,30:09.5,—,2022
90,Jake Ritter,SR,Cal Poly,30:09.8,—,2022
91,Sean Maison,JR,Air Force,30:10.0,80,2022
92,Liam Murphy,SO,Villanova,30:10.2,81,2022
93,Fearghal Curtin,SR,Florida State,30:10.6,—,2022
94,James Gormley,SR,Oregon,30:10.9,82,2022
95,Isaac Alonzo,SO,Texas,30:11.0,83,2022
96,Alexander Korczynski,SR,Northeastern,30:11.1,—,2022
97,Gabriel Sanchez,SO,Indiana,30:11.3,—,2022
98,Eliud Kipsang,SO,Alabama,30:11.6,84,2022
99,Jack Jennings,SO,Villanova,30:11.8,85,2022
100,Joaquin Martinez De Pinillos,SR,Wake Forest,30:11.9,86,2022
101,James Mwaura,SR,Gonzaga,30:12.4,87,2022
102,Victor Kibiego,FR,UTEP,30:12.7,—,2022
103,Jake Renfree,JR,Notre Dame,30:13.7,88,2022
104,Isaac Green,SR,Washington,30:13.8,89,2022
105,Derek Johnson,JR,Virginia,30:14.7,90,2022
106,Will Coogan,SO,North Carolina,30:16.5,91,2022
107,Titus Winders,SR,Iowa State,30:16.9,—,2022
108,Eli Bennett,JR,Air Force,30:18.0,92,2022
109,Rhys Hammond,JR,Cornell,30:19.0,—,2022
110,Sam Lawler,FR,Syracuse,30:19.6,93,2022
111,James Overberg,FR,Colorado,30:20.4,94,2022
112,Robinson Snider,SR,NC State,30:20.7,95,2022
113,Patrick Anderson,SO,North Carolina,30:21.0,96,2022
114,Connor Nisbet,JR,Princeton,30:21.2,97,2022
115,Hunter Appleton,SO,Colorado,30:21.2,98,2022
116,Ben Mitchell,SR,Wake Forest,30:21.3,99,2022
117,Daniel O’Brien,SO,Princeton,30:21.4,100,2022
118,Cole Sprout,SO,Stanford,30:22.9,101,2022
119,Jesse Hamlin,SO,Butler,30:23.7,102,2022
120,Zach Kinne,JR,Duke,30:23.8,—,2022
121,Marco Langon,FR,Villanova,30:24.5,103,2022
122,Teagan Flanagan,JR,South Alabama,30:25.2,—,2022
123,Assaf Harari,FR,Syracuse,30:25.2,104,2022
124,Perry Mackinnon,SR,Cornell,30:25.6,—,2022
125,Camren Todd,JR,Utah State,30:25.6,105,2022
126,Baidy Ba,SO,Kent State,30:26.1,—,2022
127,Dereck Elkins,SR,Ole Miss,30:26.1,106,2022
128,Cullen McEachern,SR,Gonzaga,30:26.7,107,2022
129,Will Anthony,FR,Virginia,30:26.7,108,2022
130,Charlie O’Donovan,SR,Villanova,30:26.8,109,2022
131,Abdinasir Hussein,SO,Oregon,30:27.4,110,2022
132,Parker Stokes,SO,Georgetown,30:27.8,111,2022
133,Kyle Radosevich,SO,Gonzaga,30:27.8,112,2022
134,Ibrahim Kedir,SR,La Salle,30:28.3,—,2022
135,Marshall Williamson,JR,North Carolina,30:28.5,113,2022
136,Justin Wachtel,FR,Virginia,30:28.7,114,2022
137,Antonio Lopez Segura,SR,Virginia Tech,30:30.3,—,2022
138,Cruz Gomez,JR,Texas,30:30.6,115,2022
139,Myles Richter,JR,Arkansas,30:31.0,116,2022
140,Will Muirhead,FR,Oklahoma State,30:31.4,117,2022
141,Mason Brown,JR,Colorado Stat,30:31.6,118,2022
142,Quinn Gallagher,JR,Notre Dame,30:33.2,119,2022
143,Wes Porter,SO,Virginia,30:33.4,120,2022
144,Tom Oates,JR,Colorado State,30:34.0,121,2022
145,Rodger Rivera,SO,Texas,30:35.1,122,2022
146,Quincy Norman,SO,Oregon,30:35.7,123,2022
147,Max Wehrli,JR,Utah State,30:35.7,124,2022
148,Yasin Sado,SO,Virginia,30:36.2,125,2022
149,George Wheeler,SR,Lamar,30:36.4,—,2022
150,Sean Laidlaw,SR,Georgetown,30:37.0,126,2022
151,Colin Sahlman,FR,Northern Arizona,30:37.0,127,2022
152,Joe Ewing,SO,Harvard,30:37.3,128,2022
153,Zach Stewart,JR,Michigan,30:37.8,129,2022
154,Matthew Scrape,JR,Syracuse,30:37.8,130,2022
155,Ben Shearer,FR,Arkansas,30:37.9,131,2022
156,Shane Brosnan,FR,Harvard,30:39.0,132,2022
157,Lachlan Wellington,SO,Iona,30:39.3,—,2022
158,Mark Crandall,SR,Utah State,30:40.6,133,2022
159,Cooper West,SR,Montana State,30:41.7,134,2022
160,Josh Phillips,SR,Villanova,30:42.2,135,2022
161,Arjun Jha,SR,Michigan,30:42.7,136,2022
162,Alex Slenning,JR,Oregon,30:43.1,137,2022
163,Gary Martin,FR,Virginia,30:43.6,138,2022
164,Joe Waskom,SO,Washington,30:44.4,139,2022
165,Matthew Forrester,SO,Butler,30:44.6,140,2022
166,Cole Bullock,SR,Ole Miss,30:45.5,141,2022
167,Will Minnette,SO,Butler,30:45.6,142,2022
168,Ed Trippas,SR,Washington,30:46.0,143,2022
169,Bradley Makuvire,JR,Tulane,30:46.4,—,2022
170,Rynard Swanepoel,FR,Wake Forest,30:46.6,144,2022
171,Sam Affolder,SO,Washington,30:46.7,145,2022
172,Aden Smith,JR,Michigan State,30:46.9,—,2022
173,CarLee Stimpfel,SR,Michigan State,30:46.9,—,2022
174,Marquette Hanson,SR,Missouri,30:47.1,—,2022
175,Jacob McLeod,SR,Arkansas,30:47.8,146,2022
176,Jacob Lewis,JR,Tennessee,30:47.9,147,2022
177,Chris Maxon,SR,Ole Miss,30:48.2,148,2022
178,Camden Gilmore,SO,Georgetown,30:48.9,149,2022
179,Dawson Besst,JR,Colorado State,30:49.0,150,2022
180,Aiden Britt,SO,Ole Miss,30:51.5,151,2022
181,Karl Thiessen,SR,Tennessee,30:51.8,152,2022
182,Jack McMahon,JR,Butler,30:52.3,153,2022
183,Myles Hogan,FR,Princeton,30:53.0,154,2022
184,Rohann Asfaw,SR,Virginia,30:53.1,155,2022
185,Haftu Strintzos,JR,Villanova,30:53.9,156,2022
186,Lars Mitchel,SO,Colorado State,30:54.4,157,2022
187,Thomas Chaston,JR,Colorado State,30:54.5,158,2022
188,Adam Spencer,FR,Wisconsin,30:54.8,159,2022
189,Abraham Avila-Martinez,SO,Texas,30:56.8,160,2022
190,Vivien Henz,FR,Harvard,30:57.1,161,2022
191,Evan Burke,SO,Stanford,30:57.4,162,2022
192,Isaac Basten,JR,Drake,30:58.0,—,2022
193,Victor Neiva,JR,North Texas,30:58.3,—,2022
194,Ben Fleming,SR,North Carolina,30:58.6,163,2022
195,Luke Henseler,SO,Pittsburgh,30:59.2,—,2022
196,Edouard Morin-Luzuy,FR,Butler,30:59.6,164,2022
197,Jonathan Shields,SR,Boise State,31:00.9,—,2022
198,Jacob Wiggers,JR,Alabama,31:01.2,165,2022
199,Carter Cheeseman,JR,Notre Dame,31:02.0,166,2022
200,Ben Perrin,SO,Montana State,31:02.4,167,2022
201,Elias Schreml,SO,Arkansas,31:04.6,168,2022
202,Malte Propp,JR,Tulsa,31:04.9,169,2022
203,Riley Moore,JR,Gonzaga,31:05.5,170,2022
204,Jack Miller,JR,Pittsburgh,31:06.6,—,2022
205,David Melville,SR,Harvard,31:06.6,171,2022
206,Joshua Zelek,JR,Princeton,31:07.5,172,2022
207,Ryan Murphy,SR,Arkansas,31:08.5,173,2022
208,Cameron Stein,FR,Oregon,31:09.1,174,2022
209,Hillary Cheruiyot,SO,Alabama,31:09.3,175,2022
210,Matthew Rizzo,SO,Georgetown,31:10.0,176,2022
211,Leo Daschbach,SO,Washington,31:11.5,177,2022
212,Josh Edwards,FR,Oregon,31:12.6,178,2022
213,Brennan Benson,SO,Utah State,31:13.1,179,2022
214,Caleb Garnica,SR,Utah State,31:17.3,180,2022
215,Michael Mooney,SO,Colorado State,31:17.9,181,2022
216,Ryan Adkins,SO,Butler,31:18.6,182,2022
217,Nate Kawalec,JR,Tennessee,31:19.3,183,2022
218,Darren Harman,SR,Utah State,31:21.0,184,2022
219,Shane Bracken,SR,Ole Miss,31:24.9,185,2022
220,Bryce Cerkowniak,FR,Gonzaga,31:26.3,186,2022
221,Dennis Kipngeno,JR,Texas A&M-CC,31:27.9,—,2022
