Place,Athlete,Class,Team,Time,Points,Year
70,Ryan Collins,FR,Virginia,30:38.4,,2008
71,Mark Korir,SR,Wyoming,30:38.7,,2008
72,Hugo Beamish,SO,Villanova,30:39.1,,2008
73,Paul Limpf,SR,East. Washington,30:39.3,,2008
74,Hakon Devries,SR,Stanford,30:39.6,,2008
75,Andrew Wheating,JR,Oregon,30:40.3,,2008
76,Diego Estrada,FR,Northern Arizona,30:40.6,,2008
77,Sean McNamara,JR,Michigan,30:41.6,,2008
78,Jon Grey,JR,William & Mary,30:43.4,,2008
79,Michael Maag,SR,Princeton,30:43.7,,2008
80,Colby Lowe,FR,Oklahoma State,30:43.9,,2008
81,Kyle Dawson,FR,Penn State,30:45.2,,2008
82,Jacob Gustafsson,SR,BYU,30:45.6,,2008
83,Dan Busby,JR,Syracuse,30:46.0,,2008
84,Zac Hine,SR,Cornell,30:46.2,,2008
85,Daniel Roberts,JR,Florida State,30:47.2,,2008
86,Kelly Spady,JR,Washington,30:47.2,,2008
87,Mark Davidson,SO,Tulsa,30:47.5,,2008
88,Jason Weller,SO,Iona,30:48.2,,2008
89,Laef Barnes,SR,UCLA,30:48.7,,2008
90,Craig Miller,JR,Wisconsin,30:49.3,,2008
91,Hayden McLaren,JR,Providence,30:50.6,,2008
92,Daniel Gonia,JR,Cal Poly,30:51.4,,2008
93,Dan Jackson,SO,Notre Dame,30:51.9,,2008
94,Colin Leak,JR,William & Mary,30:52.2,,2008
95,Garett Jeffries,SR,Missouri,30:52.3,,2008
96,Jake Walker,JR,Notre Dame,30:52.4,,2008
97,Jack Bolas,SO,Wisconsin,30:52.7,,2008
98,Christian Wagner,SR,Wisconsin,30:52.8,,2008
99,Ryan Foster,SR,Virginia,30:54.7,,2008
100,Ben Blankenship,SO,Minnesota,30:55.1,,2008
101,Evan Anderson,JR,Cal Poly,30:55.2,,2008
102,Chris Lemon,SO,Dayton,30:55.7,,2008
103,Lewis Timmins,JR,Tulsa,30:56.5,,2008
104,Ryan Hill,FR,N.C. State,30:56.7,,2008
105,Dan Hinckley,SR,BYU,30:57.2,,2008
106,Michael Banks,SR,Georgetown,30:57.4,,2008
107,Abraham Kutingala,SR,Alabama,30:57.8,,2008
108,Jordan Swarthout,SO,Washington,30:58.0,,2008
109,Kyle Dekker,JR,Tulsa,30:59.4,,2008
110,Matt Leeder,SO,Florida State,31:00.2,,2008
111,Lee Carey,FR,Providence,31:00.3,,2008
112,Elliott Heath,SO,Stanford,31:00.4,,2008
113,Drew Shackleton,SR,UCLA,31:00.5,,2008
114,Vince McNally,FR,Penn State,31:00.9,,2008
115,Kenyon Neuman,JR,Colorado,31:01.6,,2008
116,Matt Lemon,SO,Dayton,31:02.2,,2008
117,Michael Krisch,SR,Georgetown,31:02.3,,2008
118,Andrew Kirwa,SO,Alabama,31:02.9,,2008
119,Jean-Pierr Weerts,JR,Auburn,31:03.5,,2008
120,Chris Pannone,SR,Colorado,31:03.5,,2008
121,Brian Leung,FR,Princeton,31:04.2,,2008
122,Ayalew Taye,SO,Georgetown,31:04.2,,2008
123,Andy Biladeau,SR,Virginia,31:04.6,,2008
124,Ben Massam,JR,William & Mary,31:04.8,,2008
125,Alex Lundy,SO,Maryland,31:04.9,,2008
126,Ryan Merriman,JR,BYU,31:05.3,,2008
127,Brad Miller,JR,Syracuse,31:05.4,,2008
128,Patrick Mutai,SR,UTEP,31:05.4,,2008
129,Joe Gatel,JR,Cal Poly,31:05.5,,2008
130,Matt Frerker,FR,Portland,31:05.7,,2008
131,Daniel Lewis,JR,Villanova,31:06.2,,2008
132,Micah Tirop,JR,South Alabama,31:06.4,,2008
133,David Chirchir,JR,Oklahoma State,31:06.7,,2008
134,Mark Matusak,SR,California,31:08.8,,2008
135,Bo Waggoner,SO,Duke,31:09.3,,2008
136,Festus Kigen,JR,TCU,31:09.6,,2008
137,Craig Forys,SO,Michigan,31:10.1,,2008
138,Mike Haddan,SR,UCLA,31:10.1,,2008
139,Scott Novack,JR,Auburn,31:10.6,,2008
140,Matt Barnes-Smith,SR,Oklahoma State,31:10.6,,2008
141,Tyler McCandless,SR,Penn State,31:10.8,,2008
142,Jon Harding,SR,Washington,31:11.7,,2008
143,Rob Mullett,JR,Butler,31:12.2,,2008
144,Eddie Henshaw,SR,Tulsa,31:12.2,,2008
145,Kyle Murray,SR,St. Joseph’s,31:12.6,,2008
146,Matthew Tebo,SO,Colorado,31:13.1,,2008
147,Troy Swier,SR,Cal Poly,31:13.4,,2008
148,John Mahoney,SR,Penn State,31:14.2,,2008
149,Lewis Woodard,SO,William & Mary,31:14.9,,2008
150,Erick Garcia,SO,Fresno State,31:14.9,,2008
151,Rich Nelson,JR,BYU,31:16.7,,2008
152,Eric Fernandez,FR,Arkansas,31:17.1,,2008
153,Steeve Gabart,SR,Florida State,31:18.7,,2008
154,Colton Tully-Doyle,JR,Washington,31:19.0,,2008
155,Mark Fruin,SR,Northern Arizona,31:19.7,,2008
156,Robert Scribner,SR,Mississippi St.,31:20.8,,2008
157,Daniel Watts,JR,Oklahoma State,31:21.7,,2008
158,Andrew Jesien,JR,Virginia,31:22.0,,2008
159,Justin Houck,SR,Portland,31:23.0,,2008
160,Matt Barrett,JR,Minnesota,31:23.6,,2008
161,Mitch Bible,JR,Texas A&M,31:23.9,,2008
162,Nick Sunseri,SR,Florida State,31:24.0,,2008
163,Alexander Soderberg,SO,Iona,31:24.4,,2008
164,Kari Karlsson,SO,California,31:24.7,,2008
165,Kent Morikawa,SO,UCLA,31:25.3,,2008
166,Adam Henken,SO,Kentucky,31:25.5,,2008
167,Joe Miller,FR,Notre Dame,31:25.6,,2008
168,Richard Yeates,SR,Providence,31:26.0,,2008
169,Francis Kasagule,JR,Lamar,31:26.4,,2008
170,Alex McClary,SR,Arkansas,31:26.6,,2008
171,Mike McFarland,JR,Minnesota,31:27.0,,2008
172,Jonah Lagat,JR,Oral Roberts,31:27.1,,2008
173,Kevin Born,SR,Iowa State,31:27.4,,2008
174,Carl Dargitz,SO,Cal Poly,31:29.1,,2008
175,Julian Matthews,FR,Auburn,31:29.5,,2008
176,Matt Llano,JR,Richmond,31:29.6,,2008
177,Keith Capecci,SO,Villanova,31:29.7,,2008
178,Gavin Coombs,SR,N.C. State,31:31.2,,2008
179,Kris Gauson,JR,Butler,31:31.7,,2008
180,Justin Roeder,SO,Butler,31:31.8,,2008
181,John Killian,SR,Northern Arizona,31:32.3,,2008
182,Lex Williams,SR,Michigan,31:32.4,,2008
183,Andy McClary,SR,Arkansas,31:32.8,,2008
184,Chris Mocko,SR,Stanford,31:33.1,,2008
185,Duncan Phillips,SO,Arkansas,31:33.8,,2008
186,Kevin McNab,SR,Texas A&M,31:34.3,,2008
187,Dominic Channon,FR,Providence,31:34.9,,2008
188,Daniel Clark,SR,Notre Dame,31:36.3,,2008
189,Seth Thibodeau,SR,Michigan,31:36.6,,2008
190,Graham Tribble,SO,Virginia,31:40.2,,2008
191,Kevin Ondrasek,SR,Texas A&M,31:40.8,,2008
192,Joe Sauvageau,JR,Texas A&M,31:41.3,,2008
193,Chris Vizcaino,JR,Iona,31:41.8,,2008
194,Jason Pedersen,JR,Northern Arizona,31:43.1,,2008
195,Tom Burke,SO,William & Mary,31:45.6,,2008
196,Scott Keeney,JR,Indiana State,31:46.0,,2008
197,Dennis O’Connor,SR,Penn State,31:46.6,,2008
198,Brendan Gregg,SO,Stanford,31:47.3,,2008
199,Carl Mackenzie,FR,Villanova,31:48.0,,2008
200,Lane Boyer,SO,Arkansas,31:48.5,,2008
201,Colin Longmuir,SR,Portland,31:48.6,,2008
202,Nate Ogden,JR,BYU,31:49.1,,2008
203,Steve Sodaro,JR,California,31:49.4,,2008
204,Justin Scheid,SR,Georgetown,31:50.0,,2008
205,Tom Boardman,JR,Butler,31:51.2,,2008
206,Jason Lakritz,SR,Florida State,31:52.1,,2008
207,Andrew North,FR,N.C. State,31:54.0,,2008
208,Christian Thompson,FR,Colorado,31:54.7,,2008
209,Marlon Patterson,JR,UCLA,31:55.6,,2008
210,Teddy Quinn,SR,Penn State,31:56.1,,2008
211,Jeff Lease,SR,Cal Poly,31:57.4,,2008
212,Bobby Moldovan,FR,N.C. State,31:58.1,,2008
213,Andrew Wright,JR,Cal Poly,31:59.6,,2008
214,Ben Puhl,SR,Minnesota,32:00.3,,2008
215,Steven Curley,SR,Villanova,32:01.2,,2008
216,Clayton Carper,SO,Iowa State,32:02.8,,2008
217,Jordan McDougal,SR,Liberty,32:03.1,,2008
218,Ryan Gasper,JR,Wisconsin,32:03.6,,2008
219,Michael Chinchar,SO,Arkansas,32:07.3,,2008
220,Fredy Torres,SR,N.C. State,32:10.4,,2008
221,Eric Harris,JR,Tulsa,32:11.0,,2008
222,Seth Demoor,SR,Colorado,32:11.7,,2008
223,Ryan Jacobs,SO,Notre Dame,32:13.7,,2008
224,Alex Crabill,JR,UCLA,32:15.6,,2008
225,James Grimes,SO,Georgetown,32:16.4,,2008
226,Justin Switzer,SR,Michigan,32:19.3,,2008
227,Paul Springer,SO,Notre Dame,32:22.2,,2008
228,Madison Roeder,SO,Butler,32:22.2,,2008
229,Tommy Davies,SR,Butler,32:22.2,,2008
230,Mike Quackenbush,SR,Portland,32:24.5,,2008
231,Mike Torchia,SO,Minnesota,32:25.0,,2008
232,Brian Fuller,SR,Penn State,32:25.1,,2008
233,Joby Peake,SO,Auburn,32:25.3,,2008
234,Chris Ahl,JR,Washington,32:27.3,,2008
235,Michael Anderson,JR,Providence,32:28.1,,2008
236,Alec Bromka,JR,Washington,32:31.6,,2008
237,Marco Anzures,JR,UCLA,32:36.6,,2008
238,Trey Andrews,JR,Florida State,32:37.8,,2008
239,Kevin Burnett,FR,Texas A&M,32:39.1,,2008
240,Chris Williams,FR,Villanova,32:43.0,,2008
241,Peter Dorrell,FR,William & Mary,32:45.0,,2008
242,Yonas Mebrahtu,FR,Iowa State,32:49.4,,2008
243,Brandon Fellows,JR,Michigan,32:55.0,,2008
244,Matt Miller,SR,California,32:56.8,,2008
245,Rico Loy,FR,Iowa State,32:58.3,,2008
246,Zac Edwards,FR,Alabama,33:00.0,,2008
247,Trey Miller,SO,Virginia,33:11.7,,2008
248,Matt Hansdavid Miller,FR,California,33:16.8,,2008
249,Stephen Hankinson,SO,Providence,33:20.6,,2008
250,Daniel Lepage,FR,Tulsa,33:29.2,,2008
251,Logan Sherman,JR,Texas A&M,33:48.2,,2008
252,Justin Harbor,SO,Florida State,34:26.8,,2008
1,Josh McDougal,SR,Liberty,29:22.4,,2007
2,Galen Rupp,JR,Oregon,29:23.4,,2007
3,Lopez Lomong,JR,Northern Arizona,29:45.5,,2007
4,Robert Curtis,SR,Villanova,29:46.3,,2007
5,Brent Vaughn,SR,Colorado,29:47.4,,2007
6,Jacob Korir,SR,Eastern Kentucky,29:48.7,,2007
7,Shadrack Songok,JR,A&M-Corpus Christi,29:50.1,,2007
8,David Kinsella,JR,Portland,29:52.2,,2007
9,Shadrack Kiptoo-Biwott,JR,Oregon,29:55.9,,2007
10,David McNeill,FR,Northern Arizona,29:56.8,,2007
11,Ryan Vail,JR,Oklahoma State,29:57.9,,2007
12,Wesley Korir,SR,Louisville,29:58.3,,2007
13,Christo Landry,SR,William & Mary,30:04.0,,2007
14,Abraham Ng’etich,SR,Iona,30:04.6,,2007
15,Patrick Smyth,JR,Notre Dame,30:05.4,,2007
16,Trent Hoerr,SR,Illinois,30:07.1,,2007
17,Matt Withrow,JR,Wisconsin,30:09.0,,2007
18,Augustus Maiyo,JR,Alabama,30:12.8,,2007
19,Mark Korir,JR,Wyoming,30:13.2,,2007
20,Jeremy Johnson,SR,New Mexico,30:18.3,,2007
21,David Chirchir,SO,Oklahoma State,30:19.2,,2007
22,Andrew Bumbalough,SO,Georgetown,30:19.8,,2007
23,Stephen Samoei,SR,UTEP,30:20.4,,2007
24,Francis Kasagule,SO,Lamar,30:20.6,,2007
25,Mohamed Khadraoui,JR,Iona,30:20.9,,2007
26,Seth Pilkington,SR,Weber State,30:21.1,,2007
27,Leonel Manzano,JR,Texas,30:21.7,,2007
28,Andy Baker,JR,Butler,30:22.4,,2007
29,Chris Rombough,JR,Minnesota,30:24.8,,2007
30,Diego Mercado,SO,Oregon,30:26.3,,2007
31,Andrew Ledwith,JR,Iona,30:28.2,,2007
32,Austin Ramos,SR,UCLA,30:29.5,,2007
33,Phillip Reid,SR,Cal Poly,30:31.2,,2007
34,Stephen Pifer,SR,Colorado,30:32.4,,2007
35,Cory Thorne,JR,Louisville,30:34.7,,2007
36,Andrew Kirwa,FR,Alabama,30:35.3,,2007
37,Kenny Klotz,SO,Oregon,30:35.3,,2007
38,Harbert Okuti,JR,Iona,30:35.3,,2007
39,Colby Wissel,SR,Kansas,30:36.1,,2007
40,Stuart Eagon,JR,Wisconsin,30:36.8,,2007
41,Daniel Mercado,SO,Oregon,30:37.0,,2007
42,Jan Foerster,SR,Virginia,30:37.1,,2007
43,Hassan Mead,FR,Minnesota,30:37.6,,2007
44,Emmanuel Bor,SO,Alabama,30:37.8,,2007
45,Mathew Kiplagat,SR,Iona,30:37.8,,2007
46,Chandler Goodwin,SR,BYU,30:39.4,,2007
47,Morten Bostrom,SR,Northern Arizona,30:40.6,,2007
48,Patrick Mutai,JR,UTEP,30:41.4,,2007
49,Ahmed Haji,SR,Providence,30:41.7,,2007
50,Neftalem Araia,SR,Stanford,30:42.0,,2007
51,Russell Brown,SR,Stanford,30:42.0,,2007
52,Shawn Forrest,SR,Arkansas,30:42.2,,2007
53,Daniel Watts,SO,Oklahoma State,30:42.5,,2007
54,Abraham Kutingala,JR,Alabama,30:42.6,,2007
55,Matt Debole,SR,Georgetown,30:43.1,,2007
56,Emil Heineking,FR,Virginia,30:43.6,,2007
57,Nicodemus Ng’etich,SO,UTEP,30:44.0,,2007
58,Forrest Tahdooahnippa,SR,Minnesota,30:44.0,,2007
59,Michael Maag,JR,Princeton,30:44.5,,2007
60,Matt Barnes-Smith,JR,Oklahoma State,30:44.9,,2007
61,Jake Morse,JR,Texas,30:47.4,,2007
62,David Torrence,SR,California,30:47.7,,2007
63,Japheth Ngo’joy,JR,UTEP,30:47.8,,2007
64,Matt Munoz,SR,Arkansas,30:49.4,,2007
65,Siomo Kiplagat,SR,Louisville,30:49.4,,2007
66,Michael Kilburg,SR,Portland,30:50.1,,2007
67,Yosef Ghebray,JR,California,30:53.6,,2007
68,Joseph Simichimba,JR,LSU,30:54.2,,2007
69,Luke Gunn,SR,Florida State,30:55.0,,2007
70,Michael Krisch,SO,Georgetown,30:55.4,,2007
71,Micheal Eaton,SO,Louisville,30:55.8,,2007
72,Ryan Foster,SR,Virginia,30:56.4,,2007
73,Dave Nightingale,SR,Princeton,30:56.7,,2007
74,Landon Peacock,FR,Wisconsin,30:56.8,,2007
75,Jon Cardenas,SR,Northern Arizona,30:57.3,,2007
76,Jake Watson,SR,Notre Dame,30:58.5,,2007
77,Mohamed Mohamed,JR,Southern Illinois,30:58.9,,2007
78,Tibor Vegh,SR,NC State,30:59.1,,2007
79,John Ealy,SR,Ohio State,30:59.5,,2007
80,Andrew Lacy,SO,Wisconsin,31:00.0,,2007
81,Lex Williams,JR,Michigan,31:00.0,,2007
82,David Jankowski,SR,Oklahoma State,31:00.1,,2007
83,Sage Canaday,SR,Cornell,31:00.3,,2007
84,David McCarthy,FR,Providence,31:00.6,,2007
85,Micah Tirop,JR,South Alabama,31:01.8,,2007
86,Justin Scheid,JR,Georgetown,31:02.2,,2007
87,Kenyon Neuman,SO,Colorado,31:02.4,,2007
88,Kiel Uhl,JR,Iowa State,31:02.6,,2007
89,Christian Wagner,JR,Wisconsin,31:03.6,,2007
90,Hakon Devries,JR,Stanford,31:04.2,,2007
91,Jeff Helmer,SO,Arizona State,31:04.4,,2007
92,Bradley Harkrader,JR,Colorado,31:04.6,,2007
93,Stephen Furst,SR,NC State,31:04.7,,2007
94,Steeve Gabart,JR,Florida State,31:04.9,,2007
95,Troy Swier,JR,Cal Poly,31:05.4,,2007
96,Kyle Shackleton,SR,UCLA,31:06.0,,2007
97,Matt Leeder,FR,Florida State,31:06.1,,2007
98,Brandon Bethke,SO,Wisconsin,31:06.3,,2007
99,Jeremy Criscione,JR,Florida,31:06.3,,2007
100,Jeff See,JR,Ohio State,31:07.0,,2007
101,Ulices Pina,SR,UC Riverside,31:08.0,,2007
102,Ben Guest,FR,Villanova,31:08.6,,2007
103,Timothy McLeod,JR,Indiana,31:08.7,,2007
104,Drew Shackleton,JR,UCLA,31:09.0,,2007
105,Ben Ashkettle,FR,Northern Arizona,31:09.3,,2007
106,Craig Leon,SR,Ohio U.,31:09.4,,2007
107,Erik Stanley,SR,Texas,31:09.8,,2007
108,Chris Barnicle,JR,Arkansas,31:10.3,,2007
109,Matt Johnsrud,SR,Cal Poly,31:10.6,,2007
110,Kyle Alcorn,SR,Arizona State,31:10.9,,2007
111,Evan Anderson,SO,Cal Poly,31:11.9,,2007
112,Felix Kibioywo,SO,Auburn,31:12.3,,2007
113,Joseph Maina,JR,Eastern Kentucky,31:12.9,,2007
114,Jeff Lease,JR,Cal Poly,31:14.2,,2007
115,Gavin Coombs,JR,NC State,31:15.1,,2007
116,Brandon Hebbert,SO,BYU,31:16.3,,2007
117,Michael Coe,SO,California,31:16.9,,2007
118,Brandon Fellows,SO,Michigan,31:17.3,,2007
119,Brendan Fennell,SR,American,31:18.4,,2007
120,Justin Grunewald,SR,Minnesota,31:19.6,,2007
121,Craig Forys,FR,Michigan,31:20.0,,2007
122,Jeff Scull,JR,Syracuse,31:20.5,,2007
123,Patterson Wilhelm,FR,William & Mary,31:20.8,,2007
124,Dustin Bybee,SR,BYU,31:20.9,,2007
125,Dan Hedgecock,SO,Missouri,31:21.2,,2007
126,Taylor Smith,SR,Virginia,31:21.3,,2007
127,John Beattie,JR,Tulsa,31:21.5,,2007
128,Wesley Smith,SR,NC State,31:21.9,,2007
129,Joel Stansloski,SR,Tulsa,31:22.0,,2007
130,Justin Houck,JR,Portland,31:22.6,,2007
131,Mark Buckingham,SR,Florida State,31:23.9,,2007
132,Michael Kerrigan,SR,Villanova,31:24.4,,2007
133,Dave Mock,SR,William & Mary,31:24.5,,2007
134,Jake Walker,SO,Notre Dame,31:24.7,,2007
135,Pat Sovacool,JR,Miami (Ohio),31:24.7,,2007
136,Matt Williams,JR,Air Force,31:25.0,,2007
137,Chris Kollar,SR,NC State,31:25.3,,2007
138,Ian Fitzgerald,SR,William & Mary,31:25.5,,2007
139,Ben Massam,SO,William & Mary,31:25.5,,2007
140,Ben Hubers,FR,Indiana,31:25.5,,2007
141,Sean Fleming,SO,Oklahoma State,31:25.6,,2007
142,Kari Karlsson,FR,California,31:26.1,,2007
143,Pete Janson,SR,Colorado,31:26.5,,2007
144,John Black,JR,Michigan,31:26.5,,2007
145,Lewis Timmins,SO,Tulsa,31:26.5,,2007
146,Andrew Acosta,SO,Oregon,31:26.6,,2007
147,Jayden Russ,SR,Iowa State,31:28.3,,2007
148,Victor Gras,SR,Michigan,31:29.8,,2007
149,Jacob Gustafsson,JR,BYU,31:31.0,,2007
150,Josh Karanja,JR,Eastern Michigan,31:32.0,,2007
151,John Martinez,SO,NC State,31:32.7,,2007
152,Chris Pannone,JR,Colorado,31:33.2,,2007
153,Steve Hallinan,SR,American,31:34.0,,2007
154,Mark Matusak,JR,California,31:34.1,,2007
155,Derek Taylor,SR,BYU,31:34.4,,2007
156,Stephan Shay,JR,BYU,31:34.6,,2007
157,Festus Kigen,SO,TCU,31:34.7,,2007
158,Colin Longmuir,JR,Portland,31:35.3,,2007
159,Cole Hardacre,FR,Indiana,31:35.5,,2007
160,Patrick Mellea,SR,Boston College,31:36.5,,2007
161,Mike McFarland,FR,Minnesota,31:36.5,,2007
162,Garrett Heath,SR,Stanford,31:37.8,,2007
163,Ben Engelhardt,FR,Arizona State,31:38.2,,2007
164,Guor Majak,JR,Iowa State,31:38.2,,2007
165,Joe Gatel,SO,Cal Poly,31:39.0,,2007
166,Tyrel Jensen,SR,BYU,31:39.7,,2007
167,Alex Bailey,SR,Ohio State,31:40.3,,2007
168,Mike Popejoy,SR,Notre Dame,31:40.5,,2007
169,John Moore,SR,Portland,31:40.5,,2007
170,Darren Brown,SR,Texas,31:40.8,,2007
171,Daniel Roberts,SO,Florida State,31:41.3,,2007
172,Jordan Kyle,SO,Indiana,31:41.3,,2007
173,Andy Biladeau,JR,Virginia,31:41.3,,2007
174,Tyler Hill,SR,Arkansas,31:42.0,,2007
175,Rick Furseth,SR,Minnesota,31:42.5,,2007
176,Jack Bolas,FR,Wisconsin,31:42.9,,2007
177,Richard Yeates,JR,Providence,31:43.3,,2007
178,Richard Medina,FR,Colorado,31:43.7,,2007
179,Rob Dennis,SR,William & Mary,31:44.6,,2007
180,Owen Washburn,SR,Texas,31:45.7,,2007
181,Justin Langdon,SR,Northern Arizona,31:46.1,,2007
182,Bobby Papazian,SO,Villanova,31:46.3,,2007
183,Scott MacPherson,JR,Arkansas,31:48.4,,2007
184,Dan Curran,SR,Notre Dame,31:49.2,,2007
185,Matt Clark,SR,Clemson,31:49.7,,2007
186,Alonso Contreras,JR,Arizona State,31:49.9,,2007
187,Hillary Bor,FR,Iowa State,31:50.5,,2007
188,Kyle Dekker,SO,Tulsa,31:50.7,,2007
189,Eric Harris,SO,Tulsa,31:53.5,,2007
190,Dino Bozzone,FR,Portland,31:54.9,,2007
191,Joey Heller,SR,Arizona State,31:55.1,,2007
192,Brennon Plotner,JR,Indiana,31:56.5,,2007
193,Joe Parks,SO,Iona,31:56.6,,2007
194,Tommy Betterbed,SO,Portland,31:58.6,,2007
195,John Crews,SR,NC State,31:59.0,,2007
196,Scott Wall,JR,Oregon,31:59.1,,2007
197,Kevin Born,JR,Iowa State,31:59.7,,2007
198,Titus Koeh,JR,Alabama,32:00.8,,2007
199,Tom Slosky,SR,Duquesne,32:01.0,,2007
200,Kevin Tschirhart,SO,Virginia,32:05.2,,2007
201,Eric Lynch,SO,Northern Arizona,32:06.6,,2007
202,Chris Chavez,SR,California,32:07.1,,2007
203,Eric Lee,JR,California,32:08.6,,2007
204,Chad Balyo,SO,Ohio State,32:10.9,,2007
205,Hari Mix,SR,Stanford,32:13.2,,2007
206,Mikias Gelagle,SO,Arizona State,32:18.8,,2007
207,John Mickowski,SR,Army,32:19.2,,2007
208,Ben Puhl,JR,Minnesota,32:19.5,,2007
209,Hayden McLaren,SO,Providence,32:21.0,,2007
210,Brett Adams,SR,Notre Dame,32:21.9,,2007
211,David Herren,SR,Georgia Tech,32:23.5,,2007
212,Ben Sitler,SO,Princeton,32:23.9,,2007
213,Craian Olionard,SO,Michigan,32:24.4,,2007
214,John McGuire,JR,Stanford,32:25.2,,2007
215,Lane Boyer,FR,Arkansas,32:27.6,,2007
216,Andrew Jesien,SO,Virginia,32:28.8,,2007
217,Scott McClain,SO,Louisville,32:30.5,,2007
218,Dominic Tanui,JR,UTEP,32:35.0,,2007
219,Tom Webb,SO,Providence,32:36.2,,2007
220,Mark Fruin,JR,Indiana,32:36.3,,2007
221,Brian Ehlis,SR,Oklahoma State,32:36.6,,2007
222,Leif Anderson,SO,Cal Poly,32:38.7,,2007
223,Dan Jackson,FR,Notre Dame,32:39.6,,2007
224,Chase Pizzonia,JR,Iona,32:39.7,,2007
225,Brian Long,FR,Villanova,32:39.8,,2007
226,Taylor Candella,SO,Ohio State,32:40.2,,2007
227,Thad Schroeder,SR,Louisville,32:41.7,,2007
228,Matt Smith,SO,Louisville,32:43.4,,2007
229,Jay Matlack,SR,Tulsa,32:47.8,,2007
230,Garrett Kelly,SO,Arizona State,32:50.2,,2007
231,Aggrey Chirchir,SO,UTEP,32:54.2,,2007
232,Richard Newton,JR,Iowa State,32:54.6,,2007
233,Michael Anderson,SO,Providence,32:57.5,,2007
234,Geoffrey Doody,SR,Villanova,32:59.2,,2007
235,Brett Turowski,SR,Tulsa,32:59.5,,2007
236,Brandon Rooney,JR,Iowa State,32:59.8,,2007
237,Elliott Heath,FR,Stanford,33:00.9,,2007
238,Andy Arnio,FR,Ohio State,33:09.5,,2007
239,Max Smith,SR,Providence,33:10.5,,2007
240,Kyle Miller,JR,Texas,33:14.5,,2007
241,Keith Capecci,FR,Villanova,33:16.7,,2007
242,Christopher Olinger,SO,Ohio State,33:17.6,,2007
243,Joe Purpura,SO,Alabama,33:29.1,,2007
244,Jacob Rich,FR,Indiana,33:52.7,,2007
245,Paul Guevara,SR,Alabama,33:57.7,,2007
246,Ryan Wilson,SR,Texas,34:00.2,,2007
247,Nick Sunseri,JR,Florida State,34:29.0,,2007
248,Duncan Phillips,FR,Arkansas,34:35.0,,2007
249,Colin Leak,SO,William & Mary,34:51.5,,2007
250,Ayalew Taye,FR,Georgetown,37:39.0,,2007
1,Josh Rohatinsky,SR,BYU,30:44.9,,2006
2,Neftalem Araia,SR,Stanford,30:52.6,,2006
3,Jess Baumgartner,JR,Southern Utah,30:53.2,,2006
4,Lopez Lomong,SO,Northern Arizona,30:59.8,,2006
5,Martin Fagan,SR,Providence,31:01.0,,2006
6,Galen Rupp,SO,Oregon,31:03.0,,2006
7,Jacob Korir,SR,Eastern Kentucky,31:03.5,,2006
8,Peter Kosgei,SR,Arkansas,31:04.4,,2006
9,Aaron Aguayo,SR,Arizona State,31:06.6,,2006
10,Robert Cheseret,SR,Arizona,31:09.3,,2006
11,Stuart Eagon,SO,Wisconsin,31:12.1,,2006
12,Brent Vaughn,SR,Colorado,31:13.0,,2006
13,Stephen Samoei,JR,UTEP,31:15.5,,2006
14,Chris Rombough,SO,Minnesota,31:16.9,,2006
15,Sean Quigley,SR,La Salle,31:20.0,,2006
16,Samuel Chelanga,FR,Fairleigh Dickinson,31:20.2,,2006
17,Kevin Chelimo,SR,Texas Tech,31:22.2,,2006
18,Tim Nelson,SR,Wisconsin,31:23.3,,2006
19,Shadrack Songok,SO,TxA&M-Corpus Christi,31:23.3,,2006
20,Stephen Pifer,JR,Colorado,31:24.2,,2006
21,Phillip Reid,JR,Cal Poly,31:24.2,,2006
22,Mark Korir,SO,Wyoming,31:24.8,,2006
23,Mohamed Khadroui,SO,Iona,31:25.1,,2006
24,Matt Withrow,SO,Wisconsin,31:25.7,,2006
25,Seth Pilkington,JR,Weber State,31:32.2,,2006
26,Colby Wissel,JR,Kansas,31:34.3,,2006
27,Josh McDougal,JR,Liberty,31:34.6,,2006
28,Erik Heinonen,SR,Colorado,31:34.7,,2006
29,Francis Kasagule,FR,Lamar,31:34.9,,2006
30,Corey Nowitzke,SR,Eastern Michigan,31:36.5,,2006
31,Dan Mazzocco,SR,Penn State,31:37.2,,2006
32,Jan Foerster,SR,Virginia,31:38.0,,2006
33,Jordan Kyle,FR,Indiana,31:39.3,,2006
34,Christo Landry,JR,William & Mary,31:40.8,,2006
35,Scott Overall,SR,Butler,31:41.6,,2006
36,Patrick Smyth,SO,Notre Dame,31:41.7,,2006
37,Joe Thorne,SR,Texas,31:42.9,,2006
38,Augustus Maiyo,SO,Alabama,31:43.4,,2006
39,Dave Nightingale,JR,Princeton,31:43.8,,2006
40,Harbert Okuti,SO,Iona,31:46.8,,2006
41,Tonny Okello,SR,South Alabama,31:46.9,,2006
42,Paul Hefferon,JR,Kansas,31:47.7,,2006
43,Andrew Lemoncello,SR,Florida State,31:48.6,,2006
44,Seth Summerside,SR,Arkansas,31:48.9,,2006
45,Itay Magidi,SR,Clemson,31:52.8,,2006
46,Jd Krawczyk,SR,UC Santa Barbara,31:54.1,,2006
47,James Strang,JR,Colorado,31:54.5,,2006
48,Scott MacPherson,FR,Arkansas,31:56.0,,2006
49,Diego Mercado,FR,Oregon,31:56.5,,2006
50,Forest Braden,SR,Boise State,31:56.6,,2006
