Place,Name,Team,Time,Year
8, Emily Infeld,Georgetown,20:07.9,2009
9, Risper Kimaiyo,UTEP,20:10.9,2009
10, Cecily Lemmon,BYU,20:11.9,2009
1, Sheila Reid,Villanova,20:06.9,2010
2, Emily Infeld,Georgetown,20:09.2,2010
3, Jordan Hasay,Oregon,20:13.0,2010
4, Risper Kimaiyo,UTEP,20:16.1,2010
5, Rose Tanui,Texas Tech,20:17.6,2010
6, Lucy Van Dalen,Stony Brook,20:19.2,2010
7, Holly Van Dalen,Stony Brook,20:19.3,2010
8, Megan Hogan,George Washington,20:19.6,2010
9, Pilar McShine,Florida State,20:24.4,2010
10, Amanda Marino,Villanova,20:26.1,2010
1, Sheila Reid,Villanova,19:41.2,2011
2, Jordan Hasay,Oregon,19:41.8,2011
3, Abbey D'Agostino,Dartmouth,19:42.9,2011
4, Emily Infeld,Georgetown,19:44.3,2011
5, Alex Banfich,Princeton,19:45.0,2011
6, Bogdana Mimic,Villanova,19:45.7,2011
7, Katie Flood,Washington,19:47.9,2011
8, Kate Harrison,West Virginia,19:49.5,2011
9, Betsy Saina,Iowa State,19:50.7,2011
10, Tara Erdmann,Loyola Marymount,19:51.3,2011
1, Betsy Saina,Iowa State,19:27.9,2012
2, Abbey D'Agostino,Dartmouth,19:28.6,2012
3, Jordan Hasay,Oregon,19:28.6,2012
4, Aliphine Tuliamuk-Bolton,Wichita State,19:33.7,2012
5, Risper Kimaiyo,UTEP,19:41.0,2012
6, Cally Macumber,Kentucky,19:42.2,2012
7, Mareike Schrulle,Tennessee,19:43.3,2012
8, Alexi Pappas,Oregon,19:43.9,2012
9, Laura Hollander,Cal Poly–San Luis Obispo,19:45.2,2012
10, Sarah Collins,Providence,19:50.7,2012
1, Abbey D'Agostino,Dartmouth,20:00.3,2013
2, Emma Bates,Boise State,20:03.9,2013
3, Kate Avery,Iona,20:05.4,2013
4, Aisling Cuffe,Stanford,20:05.4,2013
5, Emily Lipari,Villanova,20:10.8,2013
6, Colleen Quigley,Florida State,20:11.3,2013
7, Emily Sisson,Providence,20:17.5,2013
8, Shelby Houlihan,Arizona State,20:17.5,2013
9, Shalaya Kipp,Colorado,20:21.7,2013
10, Kelsey Santisteban,California,20:21.7,2013
1, Kate Avery,Iona,19:31.6,2014
2, Sarah Disanza,Wisconsin,19:39.9,2014
3, Emma Bates,Boise State,19:44.5,2014
4, Rachele Schulist,Michigan State,19:54.3,2014
5, Rachel Johnson,Baylor,19:56.8,2014
6, Dominique Scott,Arkansas,20:01.3,2014
7,Crystal Nelson,Iowa State,20:08.5,2014
8, Katy Moen,Iowa State,20:10.5,2014
9, Shelby Houlihan,Arizona State,20:11.4,2014
10, Chelsea Blaase,Tennessee,20:11.6,2014
1, Molly Seidel,Notre Dame,19:28.6,2015
2, Allie Ostrander,Boise State,19:33.6,2015
3, Dominique Scott,Arkansas,19:40.9,2015
4, Courtney Frerichs,New Mexico,19:48.0,2015
5, Alice Wright,New Mexico,19:53.1,2015
6, Anna Rohrer,Notre Dame,19:59.7,2015
7, Allie Buchalski,Furman,20:02.6,2015
8, Maddie Meyers,Washington,20:03.1,2015
9, Brenna Peloquin,Boise State,20:04.3,2015
10, Sharon Lokedi,Kansas,20:04,2015
1, Karissa Schweizer,Missouri,19:41.7,2016
2,  Erin Finn,Michigan,19:44.3,2016
3, Anna Rohrer,Notre Dame,19:44.6,2016
4, Katie Rainsberger,Oregon,19:51.1,2016
5, Sharon Lokedi,Kansas,19:52.2,2016
6, Brenna Peloquin,Boise State,19:54.6,2016
7, Elinor Purrier,New Hampshire,19:56.9,2016
8,Amy-Eloise Neale,Washington,19:58.3,2016
9, Grace Barnett,Clemson,20:02.4,2016
10, Charlotte Taylor,San Francisco,20:02.7,2016
1,  Ednah Kurgat,New Mexico,19:19.5,2017
2,Amy-Eloise Neale,Washington,19:27.0,2017
3, Charlotte Taylor,San Francisco,19:28.6,2017
4, Allie Ostrander,Boise State,19:31.2,2017
5, Weronika Pyzik,San Francisco,19:34.0,2017
6,  Caroline Sang,Charlotte,19:35.6,2017
7,  Weini Kelati,New Mexico,19:35.8,2017
8, Grayson Murphy,Utah,19:36.3,2017
9, Allie Buchalski,Furman,19:42.5,2017
10, Dani Jones,Colorado,19:47.0,2017
1, Dani Jones,Colorado,19:42.8,2018
2, Weini Kelati,New Mexico,19:45.3,2018
3, Jessica Hull,Oregon,19:50.4,2018
4, Alicia Monson,Wisconsin,19:55.2,2018
5, Ednah Kurgat,New Mexico,19:55.8,2018
6, Allie Ostrander,Boise State,19:56.9,2018
7, Erica Birk,BYU,19:58.1,2018
8, Makena Morley,Colorado,20:00.1,2018
9, Charlotte Prouse,New Mexico,20:02.1,2018
10, Anna Rohrer,Notre Dame,20:02.4,2018
1, Weini Kelati,New Mexico,19:47.5,2019
2, Alicia Monson,Wisconsin,19:57.1,2019
3, Katie Izzo,Arkansas,19:59.3,2019
4, Taylor Werner,Arkansas,20:11.1,2019
5, Courtney Wayment,BYU,20:16.1,2019
6, Erica Birk,BYU,20:16.1,2019
7, Whittni Orton,BYU,20:17.0,2019
8, Ella Donaghu,Stanford,20:17.9,2019
9, Ednah Kurgat,New Mexico,20:18.4,2019
10, Elly Henes,NC State,20:20.7,2019
1, Mercy Chelangat,Alabama,20:01.1,2020
2, Taylor Roe,Oklahoma State,20:06.7,2020
3, Amaris Tyynismaa,Alabama,20:10.2,2020
4, Mahala Norris,Air Force,20:11.8,2020
5, Hannah Steelman,NC State,20:14.9,2020
6, Taryn O'Neill,Northern Arizona,20:23.0,2020
7, Summer Allen,Weber State,20:23.3,2020
8, Bethany Hasz,Minnesota,20:25.2,2020
9, Kelsey Chmiel,NC State,20:26.4,2020
10, Ella Donaghu,Stanford,20:26.7,2020
1, Whittni Orton Morgan,BYU,19:25.4,2021
2, Mercy Chelangat,Alabama,19:29.3,2021
3, Ceili McCabe,West Virginia,19:29.5,2021
4, Cailie Logue,Iowa State,19:29.8,2021
5, Taylor Roe,Oklahoma State,19:33.5,2021
6, Kelsey Chmiel,NC State,19:34.6,2021
7, Bethany Hasz,Minnesota,19:36.4,2021
8, Abby Nichols,Colorado,19:37.6,2021
9, Maddy Denner,Notre Dame,19:37.7,2021
10, Kayley DeLay,Yale,19:37.7,2021
1,Katelyn Tuohy,NC State,19:27.7,2022
2,Parker Valby,Florida,19:30.9,2022
3,Kelsey Chmiel,NC State,19:37.1,2022
4,Elise Stearns,Northern Arizona,19:43.9,2022
5,Bailey Hertenstein,Colorado,19:45.1,2022
6,Hilda Olemomoi,Alabama,19:45.6,2022
7,Natalie Cook,Oklahoma State,19:46.3,2022
8,Olivia Markezich,Notre Dame,19:46.4,2022
9,Amaris Tyynismaa,Alabama,19:48.2,2022
10,Addie Engel,Ohio State,19:50.4,2022
1,Parker Valby,Florida,18:55.2,2023
2,Doris Lemngole,Alabama,19:05.7,2023
3,Olivia Markezich,Notre Dame,19:10.0,2023
4,Hilda Olemomoi,Alabama,19:22.1,2023
5,Katelyn Tuohy,NC State,19:23.0,2023
6,Flomena Asekol,Florida,19:26.9,2023
7,Billah Jepkirui,Oklahoma State,19:27.5,2023
8,Chloe Scrimgeour,Georgetown,19:28.4,2023
9,Amina Maatoug,Duke,19:29.9,2023
10,Maia Ramsden,Harvard,19:30.8,2023
